image_path,task,x_norm,y_norm,done,confidence
invalid_data\images\image_000050.png,4,0.7646,0.0722,0,1
invalid_data\images\image_000051.png,4,0.0,0.0,0,0
invalid_data\images\image_000052.png,4,0.0,0.0,0,0
invalid_data\images\image_000053.png,4,0.0,0.0,0,0
invalid_data\images\image_000054.png,4,0.0,0.0,0,0
invalid_data\images\image_000055.png,4,0.0,0.0,0,0
invalid_data\images\image_000056.png,4,0.0,0.0,0,0
invalid_data\images\image_000057.png,4,0.0,0.0,0,0
invalid_data\images\image_000058.png,4,0.0,0.0,0,0
invalid_data\images\image_000059.png,4,0.0,0.0,0,0
invalid_data\images\image_000060.png,4,0.0,0.0,0,0
invalid_data\images\image_000061.png,4,0.0,0.0,0,0
invalid_data\images\image_000062.png,4,0.0,0.0,0,0
invalid_data\images\image_000063.png,4,0.0,0.0,0,0
invalid_data\images\image_000064.png,4,0.0,0.0,0,0
invalid_data\images\image_000065.png,4,0.5021,0.8833,0,1
invalid_data\images\image_000066.png,4,0.0,0.0,0,0
invalid_data\images\image_000067.png,4,0.0,0.0,0,0
invalid_data\images\image_000068.png,4,0.825,0.9185,0,1
invalid_data\images\image_000069.png,4,0.0,0.0,0,0
invalid_data\images\image_000070.png,4,0.0,0.0,0,0
invalid_data\images\image_000071.png,4,0.0,0.0,0,0
invalid_data\images\image_000072.png,4,0.0,0.0,0,0
invalid_data\images\image_000073.png,4,0.0,0.0,0,0
invalid_data\images\image_000074.png,4,0.0,0.0,0,0
invalid_data\images\image_000075.png,4,0.0,0.0,0,0
invalid_data\images\image_000076.png,4,0.0,0.0,0,0
invalid_data\images\image_000077.png,4,0.0,0.0,0,0
invalid_data\images\image_000078.png,4,0.0,0.0,0,0
invalid_data\images\image_000079.png,4,0.0,0.0,0,0
invalid_data\images\image_000080.png,4,0.0,0.0,0,0
invalid_data\images\image_000081.png,4,0.0,0.0,0,0
invalid_data\images\image_000082.png,4,0.0,0.0,0,0
invalid_data\images\image_000083.png,4,0.0,0.0,0,0
invalid_data\images\image_000084.png,4,0.0,0.0,0,0
invalid_data\images\image_000085.png,4,0.0,0.0,0,0
invalid_data\images\image_000086.png,4,0.0,0.0,0,0
invalid_data\images\image_000087.png,4,0.0,0.0,0,0
invalid_data\images\image_000088.png,4,0.0,0.0,0,0
invalid_data\images\image_000089.png,4,0.0,0.0,0,0
invalid_data\images\image_000090.png,4,0.0,0.0,0,0
invalid_data\images\image_000091.png,7,0.0521,0.0926,0,1
invalid_data\images\image_000092.png,7,0.0521,0.0926,0,1
invalid_data\images\image_000093.png,11,0.0,0.0,0,0
invalid_data\images\image_000094.png,12,0.1771,0.637,0,1
invalid_data\images\image_000095.png,12,0.0,0.0,0,0
invalid_data\images\image_000096.png,12,0.0,0.0,0,0
invalid_data\images\image_000097.png,12,0.0,0.0,0,0
invalid_data\images\image_000098.png,12,0.0,0.0,0,0
invalid_data\images\image_000099.png,12,0.0,0.0,0,0
invalid_data\images\image_000100.png,12,0.0,0.0,0,0
invalid_data\images\image_000101.png,12,0.0,0.0,0,0
invalid_data\images\image_000102.png,12,0.0,0.0,0,0
invalid_data\images\image_000103.png,12,0.0,0.0,0,0
invalid_data\images\image_000104.png,12,0.0,0.0,0,0
invalid_data\images\image_000105.png,12,0.0,0.0,0,0
invalid_data\images\image_000106.png,12,0.0,0.0,0,0
invalid_data\images\image_000107.png,12,0.0,0.0,0,0
invalid_data\images\image_000108.png,12,0.0,0.0,0,0
invalid_data\images\image_000109.png,12,0.0,0.0,0,0
invalid_data\images\image_000110.png,12,0.0,0.0,0,0
invalid_data\images\image_000111.png,12,0.0,0.0,0,0
invalid_data\images\image_000112.png,12,0.0,0.0,0,0
invalid_data\images\image_000113.png,12,0.0,0.0,0,0
invalid_data\images\image_000114.png,12,0.0,0.0,0,0
invalid_data\images\image_000115.png,12,0.0,0.0,0,0
invalid_data\images\image_000116.png,12,0.0,0.0,0,0
invalid_data\images\image_000117.png,12,0.0,0.0,0,0
invalid_data\images\image_000118.png,12,0.0,0.0,0,0
invalid_data\images\image_000119.png,12,0.0,0.0,0,0
invalid_data\images\image_000120.png,12,0.0,0.0,0,0
invalid_data\images\image_000121.png,12,0.0,0.0,0,0
invalid_data\images\image_000122.png,12,0.0,0.0,0,0
invalid_data\images\image_000123.png,12,0.0,0.0,0,0
invalid_data\images\image_000124.png,12,0.0,0.0,0,0
invalid_data\images\image_000125.png,12,0.0,0.0,0,0
invalid_data\images\image_000126.png,12,0.0,0.0,0,0
invalid_data\images\image_000127.png,12,0.0,0.0,0,0
invalid_data\images\image_000128.png,12,0.0,0.0,0,0
invalid_data\images\image_000129.png,12,0.0,0.0,0,0
invalid_data\images\image_000130.png,12,0.0,0.0,0,0
invalid_data\images\image_000131.png,12,0.0,0.0,0,0
invalid_data\images\image_000132.png,12,0.0,0.0,0,0
invalid_data\images\image_000133.png,12,0.0,0.0,0,0
invalid_data\images\image_000134.png,12,0.0,0.0,0,0
invalid_data\images\image_000135.png,12,0.0,0.0,0,0
invalid_data\images\image_000136.png,12,0.0,0.0,0,0
invalid_data\images\image_000137.png,12,0.0,0.0,0,0
invalid_data\images\image_000138.png,12,0.0,0.0,0,0
invalid_data\images\image_000139.png,12,0.0,0.0,0,0
invalid_data\images\image_000140.png,12,0.0,0.0,0,0
invalid_data\images\image_000141.png,12,0.0,0.0,0,0
invalid_data\images\image_000142.png,12,0.0,0.0,0,0
invalid_data\images\image_000143.png,12,0.0,0.0,0,0
invalid_data\images\image_000144.png,12,0.0,0.0,0,0
invalid_data\images\image_000145.png,12,0.0,0.0,0,0
invalid_data\images\image_000146.png,12,0.0,0.0,0,0
invalid_data\images\image_000147.png,12,0.0,0.0,0,0
invalid_data\images\image_000148.png,12,0.0,0.0,0,0
invalid_data\images\image_000149.png,12,0.0,0.0,0,0
invalid_data\images\image_000150.png,12,0.0,0.0,0,0
invalid_data\images\image_000151.png,12,0.0,0.0,0,0
invalid_data\images\image_000152.png,12,0.0,0.0,0,0
invalid_data\images\image_000153.png,12,0.0,0.0,0,0
invalid_data\images\image_000154.png,12,0.0,0.0,0,0
invalid_data\images\image_000155.png,12,0.0,0.0,0,0
invalid_data\images\image_000156.png,12,0.0,0.0,0,0
invalid_data\images\image_000157.png,12,0.0,0.0,0,0
invalid_data\images\image_000158.png,12,0.0,0.0,0,0
invalid_data\images\image_000159.png,12,0.0,0.0,0,0
invalid_data\images\image_000160.png,12,0.0,0.0,0,0
invalid_data\images\image_000161.png,12,0.0,0.0,0,0
invalid_data\images\image_000162.png,12,0.0,0.0,0,0
invalid_data\images\image_000163.png,12,0.0,0.0,0,0
invalid_data\images\image_000164.png,12,0.0,0.0,0,0
invalid_data\images\image_000165.png,12,0.0,0.0,0,0
invalid_data\images\image_000166.png,12,0.0,0.0,0,0
invalid_data\images\image_000167.png,12,0.0,0.0,0,0
invalid_data\images\image_000168.png,12,0.0,0.0,0,0
invalid_data\images\image_000169.png,12,0.0,0.0,0,0
invalid_data\images\image_000170.png,12,0.0,0.0,0,0
invalid_data\images\image_000171.png,12,0.0,0.0,0,0
invalid_data\images\image_000172.png,12,0.0,0.0,0,0
invalid_data\images\image_000173.png,12,0.0,0.0,0,0
invalid_data\images\image_000174.png,12,0.0,0.0,0,0
